Number;Date;UID;Desc;Group;Cat
1346291;01.01.2023 2:10;e87b2cfa-6159-4aa2-b789-3974a01e0b0a;Застряли в лифте;;
1346298;01.01.2023 9:09;d6257b7b-d68c-449f-aef3-6c4af1a2d78f;Течь батареи  в спальной ;;
1346301;01.01.2023 10:37;927aeffe-0842-4894-8ada-0a91ccdf1692;Течь сверху по стояку ;;
1346303;01.01.2023 10:56;9884e4a6-2ce4-485b-913d-8e75c7779302;Течь КНС в 3 подвале ;;
1346306;01.01.2023 11:44;4593c91a-8b75-46e4-83e5-557d730abea0;Течь кровли (забита ливневка);;
1346319;01.01.2023 13:06;9884e4a6-2ce4-485b-913d-8e75c7779302;Засор в подвале 3 подъезда ;;
1346322;01.01.2023 13:34;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Течь из колодца у 6 подъезда ;;
1346323;01.01.2023 13:39;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Течь отсечного вентиля ХВС ;;
1346324;2023-01-01 13:50:46.028;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Течь кровли в коридоре квартиры ручьем.;;
1346325;01.01.2023 14:00;c7b6f761-3317-4bb4-91a3-3c71dcb1fccf;Течь ХВС сверху по стене и с потолка туалета с 4 этажа, на 3 этаже тоже топят;;
1346326;01.01.2023 14:04;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Течь кровли в коридоре квартиры ручьем.Составить акт.;;
1346327;01.01.2023 14:05;22fc0c7f-0385-49c0-9127-3fee8ee1d9bb;Течь с/б ;;
1346328;01.01.2023 14:08;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Течь с кровли в коридоре квартиры, проверить ливневку на крыше.;;
1346330;2023-01-01 14:47:18.090;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Заделать  щели в стыках крыши над 33 и 34 квартирами, топит их в коридоре.;;
1346332;01.01.2023 15:19;98ad88a0-2265-4075-a2e4-11883e6bbb90;Не работает лифт ;;
1346334;01.01.2023 15:33;a53e9abd-f4f3-48e4-8cab-c7bf2c7b94f1;Течь сверху на кухне, в 14 кв. не открывают;;
1346335;01.01.2023 15:38;1180c488-99f9-4264-b8a8-71b8e014bd09;Засор раковины на кухне;;
1346336;01.01.2023 15:43;a54e7f41-3fcb-4ce3-8dc8-835a2beda17e;Нет э/снабжения в квартире, автоматы включены.;;
1346337;01.01.2023 15:45;9d90869f-de9e-44f4-b730-60796338be02;Замкнуло в выключателе подъездного освещения на 1 этаже, пропало э/снабжение в квартире;;
1346339;01.01.2023 16:12;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Убрать заглушку на ХВС и установить вентиль на стояке ХВС, все купят.;;
1346340;2023-01-01 16:17:51.073;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Убрать заглушку на ХВС и установить отсечной вентиль на стояке ХВС в квартире, все купят.;;
1346341;01.01.2023 16:55;9d90869f-de9e-44f4-b730-60796338be02;Нет э/снабжения в 3, 10 ,15 ... веером.;;
1346342;01.01.2023 17:10;caf247f7-3e79-4c7f-8641-9ebdd3dce10a;Лопнул фильт на отсечном вентиле ХВС.течет, заменить, материал будет в наличии.;;
1346343;01.01.2023 17:22;f51ae43f-ed62-4a9c-a84a-31f0ea1c23a0;Засор унитаза;;
1346345;01.01.2023 17:44;a166db0c-e296-45f6-ae2f-fe44ff0fc9e9;Проверить подвал,сильный запах , возможно, там что-то тлеет;;
1346346;01.01.2023 17:49;a166db0c-e296-45f6-ae2f-fe44ff0fc9e9;Проверить подвал,сильный запах горелой химией  , возможно, там что-то тлеет, ;;
1346347;01.01.2023 18:23;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Чуть теплые батареи в квартире, холодно;;
1346350;01.01.2023 19:54;4593c91a-8b75-46e4-83e5-557d730abea0;Засор КНС (кухня);;
1346351;01.01.2023 20:35;e40aaac8-af24-47ac-a9e9-3082a04490c9;Засор КНС (общая кухня);;
1346353;01.01.2023 21:33;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Х/Б;;
1346358;01.01.2023 22:11;8a139af6-8468-44bd-88fc-32883fe64ef0;Х/ГВС;;
1346362;01.01.2023 22:17;c7b6f761-3317-4bb4-91a3-3c71dcb1fccf;Топят сверху (ванная);;
1346363;01.01.2023 22:24;25eb093d-1e04-412f-a3be-f328f871685a;Выбило электричество в квартире.;;
1346366;02.01.2023 2:58;be27e4ec-b0fd-4bce-8869-81307f221bc4;Засор КНС;;
1346368;02.01.2023 7:03;dcbd0a76-cd46-48a4-935b-229cddd35102;Вода из лифтовой шахты. Осмотр.;;
1346370;02.01.2023 7:13;c95224b8-1fa8-4d95-9d8c-eb559dfea17a;Вырвали доводчик на входной двери в подъезд.;;
1346371;02.01.2023 7:14;c95224b8-1fa8-4d95-9d8c-eb559dfea17a;Гололед, обработать дорогу придомовой территории.;;
1346373;02.01.2023 8:00;b7ea6475-35ae-4244-8dd7-26ff473b950e;Не работает интернет и кабельное ТВ, проверить автоматы в эл.щитовой.;;
1346375;2023-01-02 08:17:26.085;e7f3f53c-67d6-4a3e-a34c-1f6c99b091f4;Течь сверху в туалете, на 9 этаже сухо;;
1346385;02.01.2023 9:19;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Не работает лифт в 1 подъезде;;
1346387;02.01.2023 9:31;98ad88a0-2265-4075-a2e4-11883e6bbb90;Не работает лифт ;;
1346389;02.01.2023 9:50;7341f0c1-d066-4379-8a96-fd6baf55c347;Ржавая ГВС, чуть теплая и Х/З ;;
1346390;02.01.2023 9:57;d076631a-c8c7-46cc-ba78-a7d60f2a8cf4;Механизированная уборка придомовой территории.;;
1346396;2023-01-02 10:12:30.031;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Чуть теплые батареи ЦО , включить насос;;
1346397;02.01.2023 10:17;78bcccc8-c695-4bb0-aaad-39d8b29d096c;Течь трубы ХВС в туалете;;
1346399;02.01.2023 10:29;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на л\площадке  в 3 подъезде;;
1346400;02.01.2023 10:31;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Опломбировать счетчик ХВС после замены вентиля, вынужденный срыв пломбы;;
1346401;02.01.2023 10:32;933e7cdc-f44a-4145-9401-86f74580af56;Течь с кровли на л\площадке 5 этажав 1 подъезде, где интернет -кабели;;
1346404;2023-01-02 10:40:46.074;03abb360-5ab5-45e0-a4a0-a76ed8910fc2;Мехуборка придомовой территории;;
1346405;02.01.2023 10:46;1d560926-0842-47a4-be01-0c769b993dbe;Течь сверху по стояку КНС, наверху сухо, проверить откуда течь;;
1346407;02.01.2023 10:49;d66b23d1-04ca-490d-ad27-ae11032c53ed;Течь с кровли  с потолка ванной комнаты;;
1346408;02.01.2023 10:50;9c60bf12-7800-453d-93c5-0d17aa987f0e;Течь с кровли на балкон со стыка крыши балкона;;
1346410;02.01.2023 10:51;9fd51105-5a87-495c-b8b6-2daf596d6c4a;Засор мусоропровода на 2 этаже;;
1346413;02.01.2023 10:53;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на л/площадке 9 этажа на эл.щиток;;
1346414;02.01.2023 10:58;7341f0c1-d066-4379-8a96-fd6baf55c347;Нет t ГВС;;
1346419;02.01.2023 11:14;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли с потолка и по стене туалета;;
1346420;02.01.2023 11:16;7341f0c1-d066-4379-8a96-fd6baf55c347;Х/З ;;
1346421;02.01.2023 11:17;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли с потолка и по стене туалета;;
1346424;02.01.2023 11:22;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в маленькой комнате и в туалете;;
1346425;02.01.2023 11:23;ab2d4169-0e32-4056-9d85-e25f8a0bf18c;Х/ГВС , приходится долго сливать, устранить проблему;;
1346427;02.01.2023 11:32;bcac47bf-20b0-46ed-a28e-f259668baf93;Течь с кровли в прихожей квартиры на счетчик  и по стене подъезда на 5 этажа;;
1346429;02.01.2023 11:41;dbcc26db-7555-4c26-8253-6d0df1ab70ca;Мехуборка придомовой территории;;
1346430;2023-01-02 11:47:19.033;c7b6f761-3317-4bb4-91a3-3c71dcb1fccf;Есть доступ  в 98 кв. на 6 этаже, откуда топили, в 97 кв. сухо;;
1346431;02.01.2023 11:50;ea97fdaf-3f42-4ae8-955f-8d14d6df984c;Засор мусоропровода м\у 5 и 6 этажами.;;
1346432;02.01.2023 11:58;a253056a-2aa9-4284-8cfb-b33c52ad8a70;Сильный запах КНС из подвала, проверить на засор;;
1346465;2023-01-02 12:02:34.076;89047c9b-b64c-4839-80c5-de8d47312c7e;Нет э\снабжение в квартире, автоматы не реагируют.;;
1346467;02.01.2023 12:06;e1c2cbeb-641a-476b-9206-6b710cede2ae;Течь с кровли по стене квартиры и по стене подъезда на интернат-кабели;;
1346468;02.01.2023 12:07;7341f0c1-d066-4379-8a96-fd6baf55c347;Х/ГВС ;;
1346470;02.01.2023 12:13;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Засор КНС в колодцах перед домом , течет в подвалы;;
1346471;02.01.2023 12:14;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Мехуборка  придомовой территории;;
1346472;02.01.2023 12:19;a253056a-2aa9-4284-8cfb-b33c52ad8a70;Сильный запах КНС из подвала, проверить на засор;;
1346473;02.01.2023 12:23;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в комнате, в туалете и в коридоре секции.;;
1346475;02.01.2023 12:42;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Течь с кровли по стене и с потолка туалета.;;
1346476;02.01.2023 12:50;c5534648-b719-4dfe-8530-6498a4c086d4;Течь  с кровли на л\площадке 9 этажа в 1 подъезде, напротив лифта;;
1346477;02.01.2023 12:55;2d7970d8-ac07-4196-9dd7-9d53fdcc5c1c;Течь трубы ЦО в кухне из-под сварки.;;
1346478;02.01.2023 12:56;1d560926-0842-47a4-be01-0c769b993dbe;Есть доступ в кв. выше, опять течет сверху по стояку КНС;;
1346479;2023-01-02 12:58:36.059;b230d271-e438-4bc6-b2cb-e389c5f0685b;Сильный запах КНС из подвала 2 подъезда;;
1346480;02.01.2023 13:18;89047c9b-b64c-4839-80c5-de8d47312c7e;Заменить эл.счетчик на квартиру, сгорел, Адс соединила напрямую.;;
1346481;02.01.2023 13:19;1d560926-0842-47a4-be01-0c769b993dbe;Составить акт о протопе соседями сверху в туалете.;;
1346483;02.01.2023 13:24;2508d377-c5bf-4aee-94cd-a56b61903a4c;Течь с кровли в коридоре квартиры и в ванной комнате.;;
1346484;02.01.2023 13:25;22e7b113-ab05-4ff1-867a-7abac04f1917;Течь КНС в подвале 2 подъезда;;
1346485;02.01.2023 13:27;97b83abf-e200-4110-8825-2bf9e0ed184a;Течь с кровли в ванной комнате и в общем коридоре;;
1346488;02.01.2023 13:33;6bc52eb2-c3a5-4297-ace0-552f71bd6cfa;Топят соседи сверху в кухне и в ванной комнате с 3 этажа;;
1346489;02.01.2023 13:35;fc322ca5-739f-4701-a5cd-4800df874872;Нет ГВС и ХВС , кроме ХВС в ванной комнате.;;
1346490;02.01.2023 13:41;83b8a503-2920-496a-8bfe-896c68225e8b;Течь сверху по змеевику.;;
1346491;02.01.2023 13:44;79634954-aa18-4124-b5d3-dd315e5812e2;Течь с кровли в туалете.;;
1346492;02.01.2023 13:45;8a139af6-8468-44bd-88fc-32883fe64ef0;Засор мусоропровода на 2 этаже;;
1346493;02.01.2023 13:50;1d560926-0842-47a4-be01-0c769b993dbe;Составить акт о протопе  сверху в туалете, в связи с м\э течь. стояка КНС, м\у 93 и 90 кв.;;
1346495;02.01.2023 13:56;6bc52eb2-c3a5-4297-ace0-552f71bd6cfa;Топят соседи сверху в кухне и в ванной комнате с 3 этажа;;
1346497;02.01.2023 14:10;b1ab4cb9-3502-4c37-9a47-46f482a5dc55;течь кровли  в районе системы отопления;;
1346499;02.01.2023 14:19;933e7cdc-f44a-4145-9401-86f74580af56;течь трубы хвс в районе отсечного вентиля;;
