address_uuid;build_year;floor_number;residential_area;wall_type;roof_area_total;roof_area_metal;roof_area_web;roof_area_piece_goods
82c2ad6e-27db-4541-8e5d-00163bbe622e;1976;5;4621.250;Блоки;1234.000;0.000;1234.000;0.000
e68f3476-3f10-4374-b682-00de840dae3c;1978;5;2746.540;ж/б блок;1078.550;0.000;1078.550;0.000
e9eb42b5-40b1-459b-b75d-00e01b3dca51;1975;5;5484.050;Кирпич;1835.000;0.000;1835.000;0.000
62f5beff-2753-490c-8115-01cfa320ee40;2002;10;9641.170;Кирпич;1866.000;0.000;1866.000;0.000
90d1cab6-1aa0-4c28-9df9-01f930e6dede;1967;5;1984.200;Кирпич;903.000;0.000;0.000;903.000
623da0de-ef52-484d-8063-02962bb87e9e;1970;5;2924.720;Блоки;1036.000;0.000;1036.000;0.000
4772dc31-92ed-4bc5-ad61-02bb97c68a59;1964;5;3293.680;Кирпич;1186.000;0.000;0.000;1186.000
60bd6606-7e08-47b6-aef4-0495e5c77446;1990;9;6237.570;Панели железобетонные;1050.000;0.000;1050.000;0.000
460edd97-5b51-4538-b502-04a49778b4a1;1985;2;370.550;Кирпич;259.400;0.000;259.400;0.000
0e282991-d3ed-4f15-a878-05d235ca34e5;1975;2;563.030;Кирпич;542.000;0.000;0.000;542.000
85c94654-3955-49b4-81a0-05fa8a6d118d;1992;9;5399.830;Панели железобетонные;861.000;0.000;861.000;0.000
a20c348a-f29d-4ff6-a97b-062eb8c88de0;1990;9;2439.650;Кирпич;546.400;0.000;546.400;0.000
727ce93c-1e4a-43e7-a9a4-07274dabe8a1;1991;9;6266.800;Панели железобетонные;988.000;0.000;988.000;0.000
724dcbad-b9b7-48b9-b4d5-0a48356638d3;1984;5;4474.520;Панели железобетонные;1250.000;0.000;1250.000;0.000
927aeffe-0842-4894-8ada-0a91ccdf1692;1967;5;3033.270;Кирпич;2929.600;530.000;2000.000;530.000
61bdf276-06dd-4344-a7b1-0a986aa7f07a;1976;9;4181.910;Кирпич;759.900;0.000;759.900;0.000
e1b4025c-c231-4670-a0a8-0b0a29a09b79;1979;5;4601.510;Блоки;1215.000;0.000;1215.000;0.000
641292c3-b381-490d-8cf0-0b67d5fb19cb;1965;5;2851.550;Кирпич;1113.000;0.000;1113.000;0.000
1d560926-0842-47a4-be01-0c769b993dbe;1973;5;6205.900;Блоки;1715.000;0.000;1745.000;0.000
9c60bf12-7800-453d-93c5-0d17aa987f0e;1996;5;2087.430;Кирпич;683.000;0.000;683.000;0.000
4e91971b-761d-45c3-83cb-0dd19288e303;1998;5;1354.110;Кирпич;NULL;40.000;400.000;0.000
0e08a852-15f9-4fb2-8971-0dd7a6a55b97;1964;2;628.280;Кирпич;578.000;0.000;0.000;578.000
